Ancestor?,Scan date,Nr,Name,Temp Evo,Gender,Nickname,Level,possibleLevels,CP,HP,Dust cost,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Special move,Special move 2,DPS,LL Rank (min),LL Rank (max),GL Evo,GL Rank (min),GL Rank (max),UL Evo,UL Rank (min),UL Rank (max),Box,Custom1,Custom2,Saved,Egg,Lucky?,BuddyBoosted,Form,ShadowForm,MultiForm?,Height (cm),Catch Date
0,5/29/23 15:55:39,1,Bulbasaur Purified,-,♂,:25₅₃⓯草平♂,25.0,25.0,734,86,3600,53.3,53.3,53.3,15.0,7.0,2.0,1,Vine Whip,Return, - ,14.5, - , - ,Ivysaur,3820,3820,Venusaur,3913,3913,Purified,,,1,0,0,0,581,4,0,67,2020-10-17
0,5/29/23 15:57:19,1,Bulbasaur,-,♂,%㉒15₉₆⓯♂,15.0,15.0,474,73,1900,95.6,95.6,95.6,15.0,14.0,14.0,1, - , - , - ,0.0,3050,3050,Ivysaur,2353,2353,Venusaur,2256,2256,3 Stars,,,1,0,0,0,581,7,0,?,2022-04-26
0,5/29/23 15:57:22,1,Bulbasaur Shadow,-,♂,>$13₈₉⑭草♂,13.0,13.0,404,68,1920,88.9,88.9,88.9,14.0,11.0,15.0,1,Vine Whip, - , - ,0.0,1560,1560,Venusaur,1553,1553,Venusaur,2148,2148,Shadow,,,1,0,0,0,581,2,0,52,2022-07-16
0,5/29/23 15:57:24,1,Bulbasaur,-,♂,¢78₄₀♂,10.0,10.0,270,55,1000,40.0,40.0,40.0,0.0,14.0,4.0,1, - , - , - ,0.0,78,78,Ivysaur,72,72,Venusaur,156,156,Little League,,,1,0,0,0,581,1,0,70,2022-06-17
0,5/29/23 15:57:33,1,Bulbasaur,-,♀,¢58E₆₄♀,4.0,4.0,105,35,400,64.4,64.4,64.4,6.0,11.0,12.0,1, - , - , - ,0.0,989,989,Venusaur,110,110,Venusaur,928,928,Little League,,,1,0,0,0,581,1,0,66,2022-06-18
0,5/29/23 15:57:35,1,Bulbasaur,-,♂,;⑳34₇₆⑫平草♂,34.0,34.0,967,103,7000,75.6,75.6,75.6,12.0,13.0,9.0,1,Tackle,Seed Bomb, - ,14.5, - , - ,Ivysaur,1811,1811,Venusaur,1780,1780,Costume,,,1,0,0,0,581,1,0,65,2020-07-08
0,5/29/23 15:57:41,1,Bulbasaur,-,♂,;⑳10₈₄⑪草毒♂,10.0,10.0,305,59,1000,84.4,84.4,84.4,11.0,14.0,13.0,1,Vine Whip,Sludge Bomb, - ,9.5,2256,2256,Ivysaur,1771,1771,Venusaur,1252,1252,Costume,,,1,0,0,0,581,1,0,66,2020-07-25
0,5/29/23 15:57:45,1,Bulbasaur,-,♂,;⑳20₉₁⑬草♂,20.0,20.0,622,84,2500,91.1,91.1,91.1,13.0,14.0,14.0,1,Vine Whip, - , - ,0.0, - , - ,Ivysaur,2038,2038,Venusaur,1793,1793,Costume,,,1,0,0,0,581,1,0,74,2020-10-30
0,5/29/23 15:57:49,2,Ivysaur Purified,-,♂,:25₂₂②草平♂,25.0,25.0,1043,105,3600,22.2,22.2,22.2,2.0,5.0,3.0,1,Vine Whip,Return, - ,16.5, - , - ,Ivysaur,1284,1284,Venusaur,1782,1782,Purified,,,1,0,0,0,584,4,0,96,2020-06-05
0,5/29/23 15:57:54,2,Ivysaur,-,♂,^⑯₂₉♂,19.0,19.0,818,92,2500,28.9,28.9,28.9,9.0,1.0,3.0,1, - , - , - ,0.0, - , - ,Venusaur,3005,3005,Venusaur,3369,3369,Trade,,,1,0,0,0,584,1,0,?,2016-10-21
0,5/29/23 15:58:01,2,Ivysaur Shadow,-,♂,>$13₆₇⑬草♂,13.0,13.0,599,78,1920,66.7,66.7,66.7,13.0,10.0,7.0,1,Vine Whip, - , - ,0.0, - , - ,Venusaur,2381,2381,Venusaur,2654,2654,Shadow,,,1,0,0,0,584,2,0,118,2022-08-22
0,5/29/23 15:58:04,2,Ivysaur,-,♂,¥22₆₂♂,12.0,12.0,526,78,1300,62.2,62.2,62.2,0.0,13.0,15.0,1, - , - , - ,0.0, - , - ,Ivysaur,22,22,Venusaur,2,2,Great League,,,1,0,0,0,584,1,0,?,2022-01-16
0,5/29/23 15:58:09,2,Ivysaur,-,♂,%⑳10₉₃⓯♂,10.0,10.0,481,71,1000,93.3,93.3,93.3,15.0,13.0,14.0,1, - , - , - ,0.0,3496,3496,Ivysaur,2827,2827,Venusaur,2709,2709,3 Stars,,,1,0,0,0,584,1,0,?,2020-06-26
0,5/29/23 15:58:12,2,Ivysaur,-,♂,¢120₄₉♂,1.0,1.0,21,15,200,48.9,48.9,48.9,1.0,11.0,10.0,1, - , - , - ,0.0,120,120,Venusaur,120,120,Venusaur,254,254,Little League,,,1,0,0,0,584,1,0,?,2022-?-?
0,5/29/23 15:58:16,3,Venusaur,-,♀,%⑳40₉₆⓯♀,40.0,40.0,2707,162,10000,95.6,95.6,95.6,15.0,13.0,15.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,3 Stars,,,1,0,0,0,587,1,0,?,2020-05-31
0,5/29/23 15:58:21,3,Venusaur Shadow,-,♂,>$30₉₁⓯♂,30.0,30.0,2309,147,6000,91.1,91.1,91.1,15.0,15.0,11.0,1, - , - , - ,0.0, - , - , - , - , - ,Venusaur,2977,2977,Shadow,,,1,0,0,0,587,2,0,208,2020-07-26
0,5/29/23 15:58:23,3,Venusaur Purified,-,♂,:25₈₄⑭草平♂,25.0,25.0,1905,132,3600,84.4,84.4,84.4,14.0,15.0,9.0,1,Vine Whip,Return, - ,22.6, - , - , - , - , - ,Venusaur,2007,2007,Purified,,,1,0,0,0,587,4,0,203,2020-10-17
0,5/29/23 15:58:28,3,Venusaur Purified,-,♀,:25₆₂⑥草平♀,25.0,25.0,1824,136,3600,62.2,62.2,62.2,6.0,7.0,15.0,1,Vine Whip,Return, - ,21.8, - , - , - , - , - ,Venusaur,494,494,Purified,,,1,0,0,0,587,4,0,188,2020-11-04
0,5/29/23 15:58:33,3,Venusaur,-,♂,%⑰20₉₆⑭♂,20.0,20.0,1543,121,2500,95.6,95.6,95.6,14.0,15.0,14.0,1, - , - , - ,0.0, - , - , - , - , - ,Venusaur,2237,2237,3 Stars,,,1,0,0,0,587,1,0,?,2017-02-19
0,5/29/23 15:58:37,3,Venusaur,-,♂,¥13₆₉♂,20.5,20.5,1500,122,2500,68.9,68.9,68.9,4.0,15.0,12.0,1, - , - , - ,0.0, - , - ,Venusaur,13,13,Venusaur,285,285,Great League,,,1,0,0,0,587,1,0,?,2021-06-22
0,5/29/23 15:58:41,3,Venusaur,-,♂,£2₆₂♂,17.0,17.0,1222,112,2200,62.2,62.2,62.2,0.0,13.0,15.0,1, - , - , - ,0.0, - , - ,Venusaur,475,475,Venusaur,2,2,Ultra League,,,1,0,0,0,587,1,0,?,2023-?-?
0,5/29/23 15:58:44,3,Venusaur,-,♂,.㉒15₉₃♂,15.0,15.0,1157,105,1900,93.3,93.3,93.3,15.0,13.0,14.0,1, - , - , - ,0.0, - , - ,Venusaur,3625,3625,Venusaur,2709,2709,PVE,,,1,0,0,0,587,1,0,218,2022-04-29
0,5/29/23 15:58:48,3,Venusaur,-,♀,^_08₆₇⑤⑪⑭*♀,8.0,8.0,577,76,800,66.7,66.7,66.7,5.0,11.0,14.0,1,Vine Whip,Frenzy Plant, - ,14.7, - , - ,Venusaur,61,61,Venusaur,821,821,Default,,,1,0,0,0,587,1,0,194,2020-05-31
